"Id","Cluster","TargetType","Domain","TargetUrl","DR_Est","Cost","RatPDF_Page","Anchor_Text","Pitch","Contact","Priority","Status"
"107","OCR","Resource page","ucirvine.edu","https://www.ucirvine.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@ucirvine.edu OR library@ucirvine.edu","P1","Not started"
"108","OCR","Resource page","ucirvine.edu","https://www.ucirvine.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@ucirvine.edu OR library@ucirvine.edu","P1","Not started"
"109","Compress PDF","Resource page","purdue.edu","https://www.purdue.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@purdue.edu OR library@purdue.edu","P1","Not started"
"110","Compress PDF","Resource page","purdue.edu","https://www.purdue.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@purdue.edu OR library@purdue.edu","P1","Not started"
"111","PDF to Text","Resource page","purdue.edu","https://www.purdue.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@purdue.edu OR library@purdue.edu","P1","Not started"
"112","PDF to Text","Resource page","purdue.edu","https://www.purdue.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@purdue.edu OR library@purdue.edu","P1","Not started"
"113","OCR","Resource page","purdue.edu","https://www.purdue.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@purdue.edu OR library@purdue.edu","P1","Not started"
"114","OCR","Resource page","purdue.edu","https://www.purdue.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@purdue.edu OR library@purdue.edu","P1","Not started"
"115","Compress PDF","Resource page","wisc.edu","https://www.wisc.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@wisc.edu OR library@wisc.edu","P1","Not started"
"116","Compress PDF","Resource page","wisc.edu","https://www.wisc.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@wisc.edu OR library@wisc.edu","P1","Not started"
"117","PDF to Text","Resource page","wisc.edu","https://www.wisc.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@wisc.edu OR library@wisc.edu","P1","Not started"
"118","PDF to Text","Resource page","wisc.edu","https://www.wisc.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@wisc.edu OR library@wisc.edu","P1","Not started"
"119","OCR","Resource page","wisc.edu","https://www.wisc.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@wisc.edu OR library@wisc.edu","P1","Not started"
"120","OCR","Resource page","wisc.edu","https://www.wisc.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@wisc.edu OR library@wisc.edu","P1","Not started"
"121","Compress PDF","Resource page","umn.edu","https://www.umn.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@umn.edu OR library@umn.edu","P1","Not started"
"122","Compress PDF","Resource page","umn.edu","https://www.umn.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@umn.edu OR library@umn.edu","P1","Not started"
"123","PDF to Text","Resource page","umn.edu","https://www.umn.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@umn.edu OR library@umn.edu","P1","Not started"
"124","PDF to Text","Resource page","umn.edu","https://www.umn.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@umn.edu OR library@umn.edu","P1","Not started"
"125","OCR","Resource page","umn.edu","https://www.umn.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@umn.edu OR library@umn.edu","P1","Not started"
"126","OCR","Resource page","umn.edu","https://www.umn.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@umn.edu OR library@umn.edu","P1","Not started"
"127","Compress PDF","Resource page","osu.edu","https://www.osu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@osu.edu OR library@osu.edu","P1","Not started"
"128","Compress PDF","Resource page","osu.edu","https://www.osu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@osu.edu OR library@osu.edu","P1","Not started"
"129","PDF to Text","Resource page","osu.edu","https://www.osu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@osu.edu OR library@osu.edu","P1","Not started"
"130","PDF to Text","Resource page","osu.edu","https://www.osu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@osu.edu OR library@osu.edu","P1","Not started"
"131","OCR","Resource page","osu.edu","https://www.osu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@osu.edu OR library@osu.edu","P1","Not started"
"132","OCR","Resource page","osu.edu","https://www.osu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@osu.edu OR library@osu.edu","P1","Not started"
"133","Compress PDF","Resource page","psu.edu","https://www.psu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@psu.edu OR library@psu.edu","P1","Not started"
"134","Compress PDF","Resource page","psu.edu","https://www.psu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@psu.edu OR library@psu.edu","P1","Not started"
"135","PDF to Text","Resource page","psu.edu","https://www.psu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@psu.edu OR library@psu.edu","P1","Not started"
"136","PDF to Text","Resource page","psu.edu","https://www.psu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@psu.edu OR library@psu.edu","P1","Not started"
"137","OCR","Resource page","psu.edu","https://www.psu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@psu.edu OR library@psu.edu","P1","Not started"
"138","OCR","Resource page","psu.edu","https://www.psu.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@psu.edu OR library@psu.edu","P1","Not started"
"139","Compress PDF","Resource page","umd.edu","https://www.umd.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@umd.edu OR library@umd.edu","P1","Not started"
"140","Compress PDF","Resource page","umd.edu","https://www.umd.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@umd.edu OR library@umd.edu","P1","Not started"
"141","PDF to Text","Resource page","umd.edu","https://www.umd.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@umd.edu OR library@umd.edu","P1","Not started"
"142","PDF to Text","Resource page","umd.edu","https://www.umd.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@umd.edu OR library@umd.edu","P1","Not started"
"143","OCR","Resource page","umd.edu","https://www.umd.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@umd.edu OR library@umd.edu","P1","Not started"
"144","OCR","Resource page","umd.edu","https://www.umd.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@umd.edu OR library@umd.edu","P1","Not started"
"145","Compress PDF","Resource page","virginia.edu","https://www.virginia.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@virginia.edu OR library@virginia.edu","P1","Not started"
"146","Compress PDF","Resource page","virginia.edu","https://www.virginia.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@virginia.edu OR library@virginia.edu","P1","Not started"
"147","PDF to Text","Resource page","virginia.edu","https://www.virginia.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@virginia.edu OR library@virginia.edu","P1","Not started"
"148","PDF to Text","Resource page","virginia.edu","https://www.virginia.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@virginia.edu OR library@virginia.edu","P1","Not started"
"149","OCR","Resource page","virginia.edu","https://www.virginia.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/guides/ocr-pdf","OCR PDF searchable","Accessibility: make scanned PDFs searchable for screen readers","it-help@virginia.edu OR library@virginia.edu","P1","Not started"
"150","OCR","Resource page","virginia.edu","https://www.virginia.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/ocr-pdf-to-text","OCR PDF to text","Library digitization scan-to-text workflow","it-help@virginia.edu OR library@virginia.edu","P1","Not started"
"151","Compress PDF","Resource page","unc.edu","https://www.unc.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/compress-pdf","compress PDF online free","Campus email attachment limits - link to compression hub + size checker","it-help@unc.edu OR library@unc.edu","P1","Not started"
"152","Compress PDF","Resource page","unc.edu","https://www.unc.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/research/attachment-size-limits","email attachment size limits","Cite original research table in IT help article","it-help@unc.edu OR library@unc.edu","P1","Not started"
"153","PDF to Text","Resource page","unc.edu","https://www.unc.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/how-do-i-convert-pdf-to-text","convert PDF to text","Student workflow: extract readings for notes","it-help@unc.edu OR library@unc.edu","P1","Not started"
"154","PDF to Text","Resource page","unc.edu","https://www.unc.edu/search?q=PDF","85-96","Free outreach","https://ratpdf.com/pdf-to-txt/pdf-to-text-online","PDF to text online","Alternative to Adobe export for students","it-help@unc.edu OR library@unc.edu","P1","Not started"
